,StudentNumber,DPS_HomeLg,CYI_Lat,CYI_Deg,Disability,GT_C,FRL_C,Sect504_C,SPED_C,t_grade,time_t,time_t1
708,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,4,547,579
709,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,5,579,635
710,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,6,635,595
711,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,7,595,608
712,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,8,608,636
713,622143,0.0,0.0,0.0,0.0,0.0,0.7142857140000001,0.7857142859999999,0.0,9,636,668
714,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,3,413,408
715,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,4,408,371
716,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,5,371,260
717,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,6,260,452
718,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,7,452,517
719,622893,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.35714285700000004,8,517,588
726,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,3,392,497
727,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,4,497,437
728,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,5,437,516
729,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,6,516,479
730,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,7,479,563
731,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,8,563,595
732,624325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.727272727,9,595,624
734,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,3,487,504
735,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,4,504,554
736,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,5,554,577
737,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,6,577,550
738,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,7,550,596
739,626165,1.0,1.0,0.0,0.0,0.0,0.928571429,0.0,0.928571429,8,596,580
740,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,3,377,497
741,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,4,497,466
742,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,5,466,530
743,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,6,530,560
744,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,7,560,601
745,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,8,601,616
746,626267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.833333333,9,616,636
749,627364,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3,361,465
750,627364,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4,465,424
751,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,438,481
752,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,481,486
753,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,486,530
754,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6,530,526
755,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7,526,567
756,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,567,580
757,628925,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,580,591
758,630031,0.0,1.0,1.0,0.0,0.0,0.7142857140000001,0.0,1.0,3,489,553
759,630031,0.0,1.0,1.0,0.0,0.0,0.7142857140000001,0.0,1.0,4,553,559
760,630031,0.0,1.0,1.0,0.0,0.0,0.7142857140000001,0.0,1.0,5,559,544
761,631014,1.0,1.0,1.0,0.0,0.0,0.666666667,0.166666667,0.0,7,566,590
762,631014,1.0,1.0,1.0,0.0,0.0,0.666666667,0.166666667,0.0,8,590,621
763,631014,1.0,1.0,1.0,0.0,0.0,0.666666667,0.166666667,0.0,9,621,642
768,632363,1.0,1.0,1.0,0.0,0.307692308,0.923076923,0.0,1.0,3,390,512
769,632363,1.0,1.0,1.0,0.0,0.307692308,0.923076923,0.0,1.0,4,512,488
770,632363,1.0,1.0,1.0,0.0,0.307692308,0.923076923,0.0,1.0,5,488,541
771,633590,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,3,587,608
772,633879,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,5,519,570
773,633879,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,6,570,593
774,633879,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,7,593,614
775,635336,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.923076923,3,375,461
776,635336,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.923076923,4,461,430
777,635336,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.923076923,5,430,260
778,635336,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.923076923,6,260,511
779,635336,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.923076923,7,511,512
780,635692,1.0,1.0,1.0,0.0,0.0,0.818181818,0.0,1.0,3,408,463
781,635692,1.0,1.0,1.0,0.0,0.0,0.818181818,0.0,1.0,4,463,471
782,635692,1.0,1.0,1.0,0.0,0.0,0.818181818,0.0,1.0,5,471,515
783,636657,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,9,641,669
784,636934,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.7692307690000001,3,417,507
785,636934,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.7692307690000001,4,507,500
786,636934,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.7692307690000001,5,500,534
787,636934,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.7692307690000001,6,534,614
788,636934,0.0,1.0,0.0,0.0,0.0,0.923076923,0.0,0.7692307690000001,7,614,581
789,637106,1.0,1.0,0.0,0.0,0.0,0.230769231,0.0,1.0,3,534,565
794,638120,0.0,1.0,0.0,0.0,0.0,0.909090909,0.181818182,0.727272727,3,519,562
795,638120,0.0,1.0,0.0,0.0,0.0,0.909090909,0.181818182,0.727272727,4,562,581
796,638120,0.0,1.0,0.0,0.0,0.0,0.909090909,0.181818182,0.727272727,5,581,623
797,638120,0.0,1.0,0.0,0.0,0.0,0.909090909,0.181818182,0.727272727,6,623,641
798,638120,0.0,1.0,0.0,0.0,0.0,0.909090909,0.181818182,0.727272727,7,641,651
802,642078,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.833333333,4,527,455
803,642078,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.833333333,5,455,387
804,642078,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.833333333,6,387,492
805,642078,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.833333333,7,492,445
813,642712,1.0,0.0,0.0,0.0,0.545454545,0.181818182,0.272727273,0.727272727,3,565,602
814,642712,1.0,0.0,0.0,0.0,0.545454545,0.181818182,0.272727273,0.727272727,4,602,675
815,642712,1.0,0.0,0.0,0.0,0.545454545,0.181818182,0.272727273,0.727272727,5,675,666
816,642712,1.0,0.0,0.0,0.0,0.545454545,0.181818182,0.272727273,0.727272727,6,666,682
817,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,3,470,512
818,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,4,512,528
819,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,5,528,526
820,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,6,526,560
821,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,7,560,555
822,644763,1.0,1.0,0.0,0.0,0.0,1.0,0.076923077,0.615384615,8,555,591
823,646520,1.0,1.0,1.0,0.0,0.0,0.916666667,0.0,1.0,3,322,449
824,646520,1.0,1.0,1.0,0.0,0.0,0.916666667,0.0,1.0,4,449,484
825,646520,1.0,1.0,1.0,0.0,0.0,0.916666667,0.0,1.0,5,484,537
826,646520,1.0,1.0,1.0,0.0,0.0,0.916666667,0.0,1.0,6,537,552
831,648174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,3,487,486
